Timestamp,Camera ID,Vehicle ID,Event Type,Location,Velocity,Evidence
2025-04-24 23:23:55,Camera1,25,unloading,"(415.2786865234375, 130.93191528320312)",0.34634075,Evidence generation failed
2025-04-24 23:23:55,Camera1,25,hidden_disposal,"(415.2786865234375, 130.93191528320312)",0.34634075,Evidence generation failed
2025-04-24 23:23:56,Camera1,25,hidden_disposal,"(415.27899169921875, 130.94464111328125)",0.018745342,Evidence generation failed
2025-04-24 23:23:57,Camera1,25,hidden_disposal,"(415.8577880859375, 130.62548828125)",0.42384484,Evidence generation failed
2025-04-24 23:23:57,Camera1,25,hidden_disposal,"(416.104736328125, 130.63922119140625)",0.18249606,Evidence generation failed
2025-04-24 23:23:58,Camera1,25,unloading,"(415.7478942871094, 130.91360473632812)",0.43563858,Evidence generation failed
2025-04-24 23:23:58,Camera1,25,hidden_disposal,"(415.7478942871094, 130.91360473632812)",0.43563858,Evidence generation failed
2025-04-24 23:23:59,Camera1,25,hidden_disposal,"(415.7479248046875, 130.91357421875)",2.873081e-06,Evidence generation failed
2025-04-24 23:24:00,Camera1,25,hidden_disposal,"(415.7635498046875, 131.0140838623047)",0.18694298,Evidence generation failed
2025-04-24 23:24:00,Camera1,25,hidden_disposal,"(415.9609375, 130.8019256591797)",0.35276031,Evidence generation failed
2025-04-24 23:24:01,Camera1,25,hidden_disposal,"(415.5845642089844, 131.009765625)",0.37515044,Evidence generation failed
2025-04-24 23:24:02,Camera1,25,hidden_disposal,"(415.71282958984375, 131.19239807128906)",0.36844322,Evidence generation failed
2025-04-24 23:24:03,Camera1,37,unloading,"(565.12158203125, 298.4625244140625)",0.22087401,Evidence generation failed
2025-04-24 23:24:03,Camera1,37,hidden_disposal,"(565.12158203125, 298.4625244140625)",0.22087401,Evidence generation failed
2025-04-24 23:24:03,Camera1,25,unloading,"(417.0893249511719, 131.49331665039062)",0.17765005,Evidence generation failed
2025-04-24 23:24:03,Camera1,25,hidden_disposal,"(417.0893249511719, 131.49331665039062)",0.17765005,Evidence generation failed
2025-04-24 23:24:04,Camera1,25,hidden_disposal,"(416.35595703125, 130.79615783691406)",0.567446,Evidence generation failed
2025-04-24 23:24:05,Camera1,25,unloading,"(416.61004638671875, 131.4789581298828)",0.8350744,Evidence generation failed
2025-04-24 23:24:05,Camera1,25,hidden_disposal,"(416.61004638671875, 131.4789581298828)",0.8350744,Evidence generation failed
2025-04-24 23:24:06,Camera1,37,hidden_disposal,"(538.0517578125, 284.33734130859375)",6.107854e-06,Evidence generation failed
2025-04-24 23:24:06,Camera1,25,hidden_disposal,"(416.61932373046875, 131.4788360595703)",2.41241e-06,Evidence generation failed
2025-04-24 23:24:06,Camera1,25,hidden_disposal,"(416.28643798828125, 131.55422973632812)",0.16096596,Evidence generation failed
2025-04-24 23:24:07,Camera1,25,unloading,"(416.5750732421875, 130.65103149414062)",1.2835486,Evidence generation failed
2025-04-24 23:24:08,Camera1,25,hidden_disposal,"(416.42303466796875, 130.82769775390625)",0.45752656,Evidence generation failed
2025-04-24 23:24:08,Camera1,25,hidden_disposal,"(417.04498291015625, 131.1382293701172)",0.3426756,Evidence generation failed
2025-04-24 23:24:09,Camera1,37,hidden_disposal,"(503.2721862792969, 268.7166748046875)",0.06217241,Evidence generation failed
2025-04-24 23:24:09,Camera1,25,hidden_disposal,"(416.4527587890625, 131.0811309814453)",0.0239051,Evidence generation failed
2025-04-24 23:24:10,Camera1,25,hidden_disposal,"(416.58160400390625, 131.010009765625)",0.30157068,Evidence generation failed
2025-04-24 23:24:11,Camera1,37,hidden_disposal,"(484.0140686035156, 260.27252197265625)",0.019196846,Evidence generation failed
2025-04-24 23:24:11,Camera1,25,hidden_disposal,"(416.54833984375, 130.99168395996094)",0.014503042,Evidence generation failed
2025-04-24 23:24:11,Camera1,25,unloading,"(416.71160888671875, 130.92391967773438)",0.13265,Evidence generation failed
2025-04-24 23:24:11,Camera1,25,hidden_disposal,"(416.71160888671875, 130.92391967773438)",0.13265,Evidence generation failed
2025-04-24 23:24:12,Camera1,25,hidden_disposal,"(416.61944580078125, 130.76747131347656)",0.2763074,Evidence generation failed
2025-04-24 23:24:13,Camera1,37,hidden_disposal,"(470.5321960449219, 253.96981811523438)",3.964276e-06,Evidence generation failed
2025-04-24 23:24:13,Camera1,25,hidden_disposal,"(416.62042236328125, 130.76771545410156)",7.4413856e-06,Evidence generation failed
2025-04-24 23:24:13,Camera1,25,hidden_disposal,"(416.98193359375, 130.62692260742188)",0.22790532,Evidence generation failed
2025-04-24 23:24:15,Camera1,25,hidden_disposal,"(416.2603759765625, 131.40953063964844)",0.55592346,Evidence generation failed
2025-04-24 23:24:16,Camera1,25,hidden_disposal,"(416.7723388671875, 130.98130798339844)",0.3680641,Evidence generation failed
2025-04-24 23:24:16,Camera1,37,hidden_disposal,"(438.49383544921875, 238.16232299804688)",0.0037884135,Evidence generation failed
2025-04-24 23:24:16,Camera1,25,hidden_disposal,"(416.6853942871094, 130.96180725097656)",0.010381687,Evidence generation failed
2025-04-24 23:24:17,Camera1,25,hidden_disposal,"(417.0434265136719, 131.0087890625)",0.5830836,Evidence generation failed
2025-04-24 23:24:18,Camera1,37,hidden_disposal,"(420.57012939453125, 229.31285095214844)",0.08364524,Evidence generation failed
2025-04-24 23:24:18,Camera1,25,hidden_disposal,"(415.9228515625, 131.0553741455078)",0.05852169,Evidence generation failed
2025-04-24 23:24:19,Camera1,25,hidden_disposal,"(416.20208740234375, 130.97288513183594)",0.17567378,Evidence generation failed
